STATE,FIP,deaths,pop,fat_rate,Year
Alabama,01,780,4628981,16.85,2006
Alaska,02,111,675302,16.44,2006
Arizona,04,982,6029141,16.29,2006
Arkansas,05,426,2821761,15.1,2006
California,06,3363,36021202,9.34,2006
Colorado,08,497,4720423,10.53,2006
Connecticut,09,173,3517460,4.92,2006
Delaware,10,79,859268,9.19,2006
District of Columbia,11,134,570681,23.48,2006
Florida,12,2083,18166990,11.47,2006
Georgia,13,1144,9155813,12.49,2006
Hawaii,15,33,1309731,2.52,2006
Idaho,16,180,1468669,12.26,2006
Illinois,17,1036,12643955,8.19,2006
Indiana,18,742,6332669,11.72,2006
Iowa,19,193,2982644,6.47,2006
Kansas,20,299,2762931,10.82,2006
Kentucky,21,531,4219239,12.59,2006
Louisiana,22,831,4302665,19.31,2006
Maine,23,105,1323619,7.93,2006
Maryland,24,678,5627367,12.05,2006
Massachusetts,25,211,6410084,3.29,2006
Michigan,26,1157,10036081,11.53,2006
Minnesota,27,329,5163555,6.37,2006
Mississippi,28,475,2904978,16.35,2006
Missouri,29,767,5842704,13.13,2006
Montana,30,120,952692,12.6,2006
Nebraska,31,141,1772693,7.95,2006
Nevada,32,405,2522658,16.05,2006
New Hampshire,33,82,1308389,6.27,2006
New Jersey,34,492,8661679,5.68,2006
New Mexico,35,283,1962137,14.42,2006
New York,36,1002,19104631,5.24,2006
North Carolina,37,1133,8917270,12.71,2006
North Dakota,38,46,649422,7.08,2006
Ohio,39,1114,11481213,9.7,2006
Oklahoma,40,482,3594090,13.41,2006
Oregon,41,384,3670883,10.46,2006
Pennsylvania,42,1371,12510809,10.96,2006
Rhode Island,44,47,1063096,4.42,2006
South Carolina,45,616,4357847,14.14,2006
South Dakota,46,77,783033,9.83,2006
Tennessee,47,943,6088766,15.49,2006
Texas,48,2422,23359580,10.37,2006
Utah,49,224,2525507,8.87,2006
Vermont,50,54,622892,8.67,2006
Virginia,51,816,7673725,10.63,2006
Washington,53,546,6370753,8.57,2006
West Virginia,54,253,1827912,13.84,2006
Wisconsin,55,424,5577655,7.6,2006
Wyoming,56,80,522667,15.31,2006
Alabama,01,736,4569805,16.11,2005
Alaska,02,116,666946,17.39,2005
Arizona,04,934,5839077,16.0,2005
Arkansas,05,439,2781097,15.79,2005
California,06,3453,35827943,9.64,2005
Colorado,08,535,4631888,11.55,2005
Connecticut,09,187,3506956,5.33,2005
Delaware,10,75,845150,8.87,2005
District of Columbia,11,154,567136,27.15,2005
Florida,12,1838,17842038,10.3,2005
Georgia,13,1064,8925922,11.92,2005
